,fit_time,score_time,cv_mse,cv_r2,cv_threshold,cv_threshold_f1,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_balanced_acc,cv_brier_score,cv_log_loss,cv_auc_roc,cv_auc_pr,train_mse,train_rmse,train_mae,train_r2,train_threshold,train_threshold_f1,train_accuracy,train_precision,train_recall,train_f1,train_balanced_acc,train_brier_score,train_log_loss,train_auc_roc,train_auc_pr,train_calibration_slope,train_ece,train_time
LinearRegression,0.007134056091308594,0.0024333953857421874,-0.030310170155558584,0.011923811008685847,0.21000000000000002,0.4,0.9637030247479377,0.40993788819875776,0.3905325443786982,0.4,0.6862802714326333,0.037353507880934944,0.18890900909814162,0.9245321458715329,0.3329767120325601,0.02491918133815375,0.15785810507589956,0.06548988410128063,0.16994013206821335,0.19,0.4134831460674157,0.952153987167736,0.3333333333333333,0.5443786982248521,0.4134831460674157,0.7547848844888922,0.03660150647724111,0.18626614874080902,0.9312261707267383,0.3779950004273508,1.0274270607279108,0.11157852851435006,0.3825037479400635
SVR,0.12340707778930664,0.03752470016479492,-0.028090393153879643,0.06202089406245952,0.2,0.3553299492385787,0.9534372135655362,0.3111111111111111,0.41420118343195267,0.3553299492385787,0.692439222060282,0.04174837238947365,0.20700739140569271,0.8452101901416492,0.2505600665985371,0.021875453005111498,0.1479035260063515,0.07972448904380239,0.2713269595029093,0.17,0.7433155080213903,0.9824014665444546,0.6780487804878049,0.8224852071005917,0.7433155080213903,0.9049996977614196,0.03689777896942864,0.19478650892969518,0.9615642077879045,0.7676513255688079,1.2924188303560369,0.1385024376240186,2.272343158721924
DecisionTreeRegressor,0.05979142189025879,0.0022023200988769533,-0.030769892414431017,-0.03155120769363673,0.15000000000000002,0.34545454545454546,0.9472043996333639,0.28044280442804426,0.44970414201183434,0.34545454545454546,0.7064071220842373,0.030912353401708434,0.34934481275720813,0.7759348687053217,0.24630623250591727,0.017910956627932805,0.13383182217967746,0.035821913255865624,0.40338464208088776,0.23,0.5555555555555556,0.9780018331805683,0.7425742574257426,0.4437869822485207,0.5555555555555556,0.7194341646013697,0.017910956627932805,0.07293972769999625,0.8991704110668575,0.6167245492616507,1.0000000000000002,1.2143668543497476e-16,0.9905257225036621
RandomForestRegressor,6.7518247127532955,0.009411430358886719,-0.024922713107241062,0.167189365632253,0.18,0.39147286821705424,0.9424381301558203,0.2910662824207493,0.5976331360946746,0.39147286821705424,0.7755475555615257,0.024893308890925756,0.15203630236406382,0.9050970857484435,0.3221611011410809,0.003448175985334556,0.05872117152556271,0.01784051329055912,0.8851409898201569,0.32,1.0,1.0,1.0,1.0,1.0,1.0,0.003448175985334556,0.019977665384110457,1.0,1.0,1.4838037155565165,0.017840513290559135,76.6248848438263
GradientBoostingRegressor,3.502961540222168,0.002796840667724609,-0.024832332615897366,0.17137140652879793,0.19,0.3977055449330784,0.9422548120989918,0.2937853107344633,0.6153846153846154,0.3977055449330784,0.7840449372798975,0.03635775704771973,0.1845085405742376,0.9106017458195927,0.3252189120740229,0.012312162113770045,0.11096018256009696,0.032618539752353314,0.589880922674489,0.29000000000000004,0.7831715210355987,0.987717690192484,0.8642857142857143,0.7159763313609467,0.7831715210355987,0.8561909655291302,0.025904125850086716,0.15878105279160004,0.9756222196849107,0.8472091061129067,1.511006204013081,0.12224500699346917,39.67166352272034
XGBRegressor,0.1933079719543457,0.004006004333496094,-0.028086535260081293,0.05773684978485107,0.24000000000000002,0.35714285714285715,0.9439046746104491,0.2768729641693811,0.5029585798816568,0.35714285714285715,0.7304804250146082,0.03863149032112541,0.1894364715528043,0.8267613233124452,0.28031502946797104,5.0367005314910784e-05,0.0070969715593984725,0.004153248388320208,0.9983222484588623,0.15000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,0.014308434875860122,0.1273608374657226,1.0,1.0,1.3236260406094393,0.11957871269649807,2.3504550457000732
LGBMRegressor,0.0951427936553955,0.003679513931274414,-0.025530557992597853,0.1447498048062107,0.23,0.39826839826839827,0.9490375802016499,0.31399317406143346,0.5443786982248521,0.39826839826839827,0.7531768633008482,0.036346976050657495,0.18429541397473806,0.8406251189364784,0.3352811991315991,0.0038805079193171515,0.06229372295277552,0.020916392694053102,0.8707399794838007,0.29000000000000004,0.978978978978979,0.9987167736021998,0.9939024390243902,0.9644970414201184,0.978978978978979,0.9821539312284095,0.018163408787634096,0.13881728959879372,0.9985828368784799,0.9903006287727172,1.4446703575660065,0.12589488937082685,1.35072922706604
CatBoostRegressor,0.29825539588928224,0.003406524658203125,-0.02562584106599482,0.1412483244013169,0.25,0.38967136150234744,0.9523373052245646,0.3229571984435798,0.4911242603550296,0.38967136150234744,0.7291035603704773,0.036632217884440536,0.18474212743685658,0.8678702478580238,0.31406114837529653,0.0033076895762322992,0.05751251669186717,0.022568120473287177,0.8898206030306873,0.30000000000000004,0.9970326409495549,0.9998166819431714,1.0,0.9940828402366864,0.9970326409495549,0.9970414201183432,0.017523388938568654,0.1369533163917765,0.9991481349640784,0.995155503084598,1.3282212826555022,0.12641169338488445,3.3857510089874268
MLPRegressor,0.6195097923278808,0.0025262355804443358,-0.04009197346172417,-0.28901977998123085,0.25,0.38308457711442784,0.9545371219065077,0.33047210300429186,0.4556213017751479,0.38308457711442784,0.7130546917502301,0.03824913629272319,0.19639145407403638,0.8536874226213265,0.26814851010540963,0.018918103426923856,0.1375430966167472,0.06593214409421187,0.36983650389713274,0.28,0.6202898550724638,0.9759853345554537,0.6079545454545454,0.6331360946745562,0.6202898550724638,0.8100413731034529,0.030405794880849817,0.16801472997605804,0.9757358390031052,0.6769133739216527,1.3015696855374053,0.11590709561067604,7.3844475746154785
